time_date_string,user_id,source_app,language,is_user_default_profile,is_user_geo_enabled,country,possibly_sensitive,user_profile_background_color,user.profile_text_color,user_profile_link_color,is_truncated,display_text_range,user.statuses_count,user_friends_count,user_followers_count,user_lists_count,number_of_user_mentions_in_tweet,number_of_medias_in_tweet,number_of_urls_in_tweet
2019-01-20T22:53:54.305Z,21427405,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,TRUE,11,6164,367,272,14,1,0,1
2019-01-20T08:32:33.218Z,40060059,Twitter for iPhone,und,FALSE,TRUE,United States,,B0C39B,C3946C,F69445,FALSE,31,2440,295,138,12,1,0,0
2019-01-20T22:57:30.902Z,2855135111,Twitter for iPhone,en,FALSE,TRUE,United States,,0,0,FACC2E,FALSE,54,5088,438,300,2,1,0,0
2019-01-20T22:38:57.889Z,7.39E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,,6916,600,502,0,0,0,0
2019-01-20T20:03:13.722Z,21527490,Twitter for Android,en,TRUE,TRUE,United Kingdom,FALSE,C0DEED,333333,1DA1F2,TRUE,140,8675,3149,1475,16,0,0,1
2019-01-20T05:35:24.997Z,3017331200,Twitter for Android,und,TRUE,TRUE,India,FALSE,C0DEED,333333,1DA1F2,FALSE,3,9375,880,116,0,0,1,0
2019-01-20T19:11:50.010Z,73542873,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,67,25994,2528,1108,11,1,0,0
2019-01-20T14:31:14.688Z,1192911450,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,22,2694,96,21,0,2,0,0
2019-01-20T04:13:56.956Z,36758992,Twitter for iPad,en,FALSE,TRUE,United States,,642D8B,3D1957,FF0000,FALSE,,22299,514,124,9,0,0,0
2019-01-20T20:00:17.586Z,120883715,Twitter for iPhone,en,FALSE,TRUE,United States,,22330,333333,0084B4,FALSE,17,257042,2426,1561,105,1,0,0
2019-01-20T04:32:28.664Z,1411555663,Twitter for iPhone,und,FALSE,TRUE,United States,,1A1B1F,333333,DD2E23,FALSE,71,18022,297,382,10,6,0,0
2019-01-20T05:05:57.575Z,8.26E+17,Twitter for iPhone,en,TRUE,TRUE,United States,,F5F8FA,333333,1DA1F2,FALSE,,276,211,25,0,0,0,0
2019-01-20T01:21:29.620Z,8.23E+17,Twitter for Android,und,TRUE,TRUE,United States,FALSE,F5F8FA,333333,1DA1F2,FALSE,37,26900,3450,1925,1,3,1,0
2019-01-20T03:35:55.752Z,345574879,Twitter for iPhone,en,FALSE,TRUE,United States,,642D8B,827972,FF0000,FALSE,,28782,6946,13927,343,0,0,0
2019-01-20T07:39:10.893Z,173150937,Twitter for iPhone,en,FALSE,TRUE,United Kingdom,,DBE9ED,333333,CC3366,FALSE,55,33154,995,10601,395,1,0,0
2019-01-20T12:06:19.336Z,8.65E+17,Twitter for Android,und,TRUE,TRUE,India,FALSE,F5F8FA,333333,1DA1F2,FALSE,9,4246,7148,7637,1,1,1,0
2019-01-20T00:38:55.133Z,844111897,Twitter for iPhone,und,FALSE,TRUE,United States,FALSE,22330,333333,0084B4,FALSE,0,3900,876,2526,10,0,1,0
2019-01-20T20:05:50.915Z,3028110790,Twitter for iPhone,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,83,5509,478,113,1,1,0,0
2019-01-20T23:29:40.053Z,630634632,Twitter for Android,en,FALSE,TRUE,United Kingdom,FALSE,C0DEED,333333,0051B3,FALSE,57,3140,1103,593,8,0,1,0
2019-01-20T07:57:24.807Z,9.70E+17,Twitter for Android,en,TRUE,TRUE,India,,F5F8FA,333333,1DA1F2,FALSE,,5851,1731,1165,0,1,0,0
2019-01-20T06:43:29.995Z,2752662875,Twitter for Android,en,TRUE,TRUE,United States,,C0DEED,333333,1DA1F2,FALSE,98,13377,4725,3360,27,2,0,0
2019-01-20T20:32:48.214Z,23426367,Twitter for iPhone,en,TRUE,TRUE,United Kingdom,,C0DEED,333333,1DA1F2,FALSE,27,8654,166,228,59,1,0,0
